timestamp,event,temp,humi,voltage,note
2026-08-24 08:33:43,reading,26.0,64.0,1.23,OK
2026-08-24 08:33:44,reading,26.0,64.0,1.23,OK
2026-08-24 08:33:46,reading,26.0,64.0,1.23,OK
2026-08-24 08:33:48,reading,26.0,64.0,1.23,OK
2026-08-24 08:33:50,reading,26.0,64.0,1.23,OK
2026-08-24 08:33:52,reading,26.0,64.0,1.23,OK
2026-08-24 08:33:54,reading,26.0,64.0,1.23,OK
2026-08-24 08:33:56,reading,26.0,64.0,1.23,OK
2026-08-24 08:33:58,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:00,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:02,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:03,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:05,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:13,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:15,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:16,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:18,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:20,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:22,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:24,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:25,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:27,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:29,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:31,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:33,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:35,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:37,reading,26.0,64.0,1.23,OK
2026-08-24 08:34:38,reading,26.0,65.0,1.23,OK
2026-08-24 08:34:40,reading,26.0,65.0,1.23,OK
2026-08-24 08:34:42,reading,26.0,65.0,1.23,OK
2026-08-24 08:34:44,reading,26.0,65.0,1.23,OK
2026-08-24 08:34:47,reading,26.0,65.0,1.23,OK
2026-08-24 08:34:49,reading,26.0,65.0,1.23,OK
2026-08-24 08:34:51,reading,26.0,65.0,1.23,OK
2026-08-24 08:34:52,reading,26.0,65.0,1.23,OK
2026-08-24 08:34:54,reading,26.0,65.0,1.23,OK
2026-08-24 08:35:01,reading,26.0,65.0,1.23,OK
2026-08-24 08:35:08,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:10,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:12,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:14,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:16,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:18,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:20,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:22,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:24,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:25,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:27,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:29,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:31,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:33,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:35,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:38,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:40,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:42,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:43,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:45,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:47,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:49,reading,26.0,64.0,1.23,OK
2026-08-24 08:35:51,reading,26.0,65.0,1.23,OK
2026-08-24 08:35:53,reading,26.0,65.0,1.23,OK
2026-08-24 08:35:54,reading,26.0,65.0,1.23,OK
2026-08-24 08:35:56,reading,26.0,65.0,1.23,OK
2026-08-24 08:35:58,reading,26.0,65.0,1.23,OK
2026-08-24 08:36:00,reading,26.0,65.0,1.23,OK
2026-08-24 08:36:02,reading,26.0,65.0,1.23,OK
2026-08-24 08:36:03,reading,26.0,65.0,1.23,OK
2026-08-24 08:36:06,reading,26.0,65.0,1.23,OK
2026-08-24 08:36:08,reading,26.0,65.0,1.23,OK
2026-08-24 08:36:09,reading,26.0,65.0,1.23,OK
2026-08-24 08:36:11,reading,26.0,65.0,1.23,OK
2026-08-24 08:36:13,reading,26.0,64.0,1.23,OK
2026-08-24 08:36:15,reading,26.0,64.0,1.23,OK
2026-08-24 08:36:17,reading,26.0,64.0,1.23,OK
2026-08-24 08:36:19,reading,26.0,64.0,1.23,OK
2026-08-24 08:36:21,reading,26.0,64.0,1.23,OK
2026-08-24 08:36:23,reading,26.0,64.0,1.23,OK
2026-08-24 08:36:25,reading,26.0,64.0,1.23,OK
2026-08-24 08:36:27,reading,26.0,64.0,1.23,OK
2026-08-24 08:36:28,reading,26.0,64.0,1.23,OK
2026-08-24 08:36:30,reading,26.0,64.0,1.23,OK
2026-08-24 08:36:32,reading,26.0,64.0,1.23,OK
2026-08-24 08:36:34,reading,26.0,64.0,1.23,OK
2026-08-24 08:36:36,reading,26.0,64.0,1.23,OK
2026-08-24 08:36:37,reading,27.0,64.0,1.23,OK
2026-08-24 08:36:39,reading,27.0,64.0,1.23,OK
2026-08-24 08:36:41,reading,27.0,64.0,1.23,OK
2026-08-24 08:36:43,reading,27.0,64.0,1.23,OK
2026-08-24 08:36:45,reading,27.0,64.0,1.23,OK
2026-08-24 08:36:47,reading,27.0,64.0,1.23,OK
2026-08-24 08:36:48,reading,27.0,64.0,1.23,OK
2026-08-24 08:36:50,reading,27.0,64.0,1.23,OK
2026-08-24 08:36:52,reading,27.0,64.0,1.23,OK
2026-08-24 08:36:54,reading,27.0,64.0,1.23,OK
2026-08-24 08:36:56,reading,27.0,64.0,1.23,OK
2026-08-24 08:36:57,reading,27.0,64.0,1.23,OK
2026-08-24 08:36:59,reading,27.0,64.0,1.23,OK
2026-08-24 08:37:01,reading,50.0,30.0,1.23,OK
2026-08-24 08:37:03,reading,50.0,30.0,1.23,OK
2026-08-24 08:37:05,reading,50.0,30.0,1.23,OK
2026-08-24 08:37:06,reading,50.0,30.0,1.23,OK
2026-08-24 08:37:08,reading,50.0,30.0,1.23,OK
2026-08-24 08:37:10,reading,50.0,30.0,1.23,OK
2026-08-24 08:37:12,reading,50.0,30.0,1.23,OK
2026-08-24 08:37:14,reading,50.0,30.0,1.23,OK
2026-08-24 08:37:15,reading,50.0,30.0,1.23,OK
2026-08-24 08:37:17,reading,50.0,30.0,1.23,OK
2026-08-24 08:37:19,reading,50.0,30.0,1.23,OK
2026-08-24 08:37:21,reading,50.0,30.0,1.23,OK
2026-08-24 08:37:23,reading,50.0,30.0,1.23,OK
2026-08-24 08:37:25,reading,55.0,22.0,1.23,OK
2026-08-24 08:37:26,reading,55.0,22.0,1.23,OK
2026-08-24 08:37:28,reading,55.0,22.0,1.23,OK
2026-08-24 08:37:30,reading,55.0,22.0,1.23,OK
2026-08-24 08:37:32,reading,55.0,22.0,1.23,OK
2026-08-24 08:37:35,reading,55.0,22.0,1.23,OK
2026-08-24 08:37:37,reading,55.0,22.0,1.23,OK
2026-08-24 08:37:39,reading,55.0,22.0,1.23,OK
2026-08-24 08:37:40,reading,55.0,22.0,1.23,OK
2026-08-24 08:37:42,reading,55.0,22.0,1.23,OK
2026-08-24 08:37:44,reading,55.0,22.0,1.23,OK
2026-08-24 08:37:46,reading,55.0,22.0,1.23,OK
2026-08-24 08:37:48,reading,55.0,22.0,1.23,OK
2026-08-24 08:37:49,reading,55.0,22.0,1.23,OK
2026-08-24 08:37:51,reading,55.0,22.0,1.23,OK
2026-08-24 08:37:53,reading,52.0,25.0,1.23,OK
2026-08-24 08:37:55,reading,52.0,25.0,1.23,OK
2026-08-24 08:37:57,reading,52.0,25.0,1.23,OK
2026-08-24 08:37:58,reading,52.0,25.0,1.23,OK
2026-08-24 08:38:00,reading,52.0,25.0,1.23,OK
